Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Act_data_pkt_fwd,Min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
5353,127.7995400428772,24,0,2544,0,119,87,106.0,13.628614398932218,0,0,0,0,19.906174929475327,0.18779410310825778,5.556501740994661,6.539299534558873,20.08139204978943,0.099822998046875,127.7995376586914,5.556501740994661,6.539299534558873,20.08139204978943,0.099822998046875,0,0,0,0,0,0,0,816,0,0.18779410310825778,0.0,87,119,106.0,13.628614398932218,185.73913043478257,0,0,0,0,0,0,0,0,0.0,106.0,106.0,0,0,0,0,87,1727764999.5775402,35.01544908304366,1727765051.19512,1727764923.39558,8.287981017430623,6.647038885197361,20.08139204978943,1.0241119861602783
53,1.0,1,0,85,0,85,85,85.0,0.0,0,0,0,0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,85,85,85.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,85.0,85.0,0,0,0,0,85,1727764926.072467,0.0,1727764926.072467,1727764926.072467,0.0,0.0,0.0,0.0
53,1.0,1,0,85,0,85,85,85.0,0.0,0,0,0,0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,85,85,85.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,85.0,85.0,0,0,0,0,85,1727764926.072718,0.0,1727764926.072718,1727764926.072718,0.0,0.0,0.0,0.0
51990,1.0,1,0,101,0,101,101,101.0,0.0,0,0,0,0,101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,101,101,101.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,101.0,101.0,0,0,0,0,101,1727764926.080663,0.0,1727764926.080663,1727764926.080663,0.0,0.0,0.0,0.0
48321,1.0,1,0,113,0,113,113,113.0,0.0,0,0,0,0,113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,113,113,113.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,113.0,113.0,0,0,0,0,113,1727764926.08113,0.0,1727764926.08113,1727764926.08113,0.0,0.0,0.0,0.0
53,1.0,1,0,85,0,85,85,85.0,0.0,0,0,0,0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,85,85,85.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,85.0,85.0,0,0,0,0,85,1727764929.48229,0.0,1727764929.48229,1727764929.48229,0.0,0.0,0.0,0.0
53,1.0,1,0,85,0,85,85,85.0,0.0,0,0,0,0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,85,85,85.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,85.0,85.0,0,0,0,0,85,1727764929.482398,0.0,1727764929.482398,1727764929.482398,0.0,0.0,0.0,0.0
38210,1.0,1,0,121,0,121,121,121.0,0.0,0,0,0,0,121.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,121,121,121.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,121.0,121.0,0,0,0,0,121,1727764929.497414,0.0,1727764929.497414,1727764929.497414,0.0,0.0,0.0,0.0
43501,1.0,1,0,133,0,133,133,133.0,0.0,0,0,0,0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,133,133,133.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,133.0,133.0,0,0,0,0,133,1727764929.497661,0.0,1727764929.497661,1727764929.497661,0.0,0.0,0.0,0.0
53,1.0,1,0,87,0,87,87,87.0,0.0,0,0,0,0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,87,87,87.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,87.0,87.0,0,0,0,0,87,1727764929.500466,0.0,1727764929.500466,1727764929.500466,0.0,0.0,0.0,0.0
